nombre;inicio
CURBSTONE;3000000
ROAD_MARKING;5000000
ROAD_EDGE;3300000
GUARDRAIL;3400000
CONCRETE_BARRIER;3500000
STOP_LINE;4000000
YIELD_LINE;4100000
CROSSWALK;4200000
SIDEWALK;6300000
CROSSHATCHED;5100000
KEEP_CLEAR;8200000
TRAFFIC_CALMING;8400000
BRIDGE;6000000
TUNNEL;6100000
UNDERPASS;6200000
INTERSECTION;5200000
VEGETATION;6400000
DITCH;6500000
POND;6600000
BUILDING;6800000
RAILROAD;8000000
RAILROAD_AREA;8100000
DRIVEWAY;8300000
PARKING;8500000
SCHOOL_ZONE;8600000
STATIC_OBJECT;6900000
PEDESTRIAN_FENCE;3600000
TURNING_LINE;2800000
CUT_LINE;2900000
TRAFFIC_LIGHT_POLE;7100000
TRAFFIC_LIGHT_BOX;7000000
TRAFFIC_LIGHT_BULB;7200000
TRAFFIC_SIGN_POLE;7400000
TRAFFIC_SIGN_BOX;7300000
STREET_LIGHT_POLE;6700000
VIRTUAL_LINE;2000000
LANE_MARKER;1000000
